# Trajet
# codetrajet, garedepart, garearrivee, conducteur, rame, depart, duree
1, 1, 4, 10, 1, '2020-02-01 06:28:00', '02:10:00'
2, 4, 1, 4, 15, '2020-02-01 06:31:00', '02:10:00'
3, 3, 7, 9, 19, '2020-02-01 06:45:00', '01:00:00'
4, 7, 3, 3, 8, '2020-02-01 06:51:00', '01:10:00'
5, 1, 7, 8, 3, '2020-02-01 07:00:00', '03:20:00'
6, 7, 1, 2, 9, '2020-02-01 06:59:00', '02:10:00'
7, 4, 7, 7, 17, '2020-02-01 07:21:00', '01:15:00'
8, 7, 4, 1, 12, '2020-02-01 07:57:00', '01:15:00'
9, 1, 8, 5, 15, '2020-02-01 08:07:00', '03:30:00'
10, 8, 1, 6, 5, '2020-02-01 09:31:00', '03:30:00'
